repo,metadata
github.com/0ad/0ad,criticality_score:0.481240
github.com/0xAX/linux-insides,criticality_score:0.525660
github.com/0xProject/0x-monorepo,criticality_score:0.588980
github.com/0xced/XCDYouTubeKit,criticality_score:0.512650
github.com/0xfe/vexflow,criticality_score:0.591840
github.com/10up/ElasticPress,criticality_score:0.591300
github.com/10up/Engineering-Best-Practices,criticality_score:0.456590
github.com/10up/distributor,criticality_score:0.522580
github.com/11ty/eleventy,criticality_score:0.621910
github.com/11ty/eleventy-base-blog,criticality_score:0.474240
github.com/18F/18f.gsa.gov,criticality_score:0.640520
github.com/18F/analytics-reporter,criticality_score:0.445810
github.com/18F/analytics.usa.gov,criticality_score:0.466910
github.com/18F/development-guide,criticality_score:0.449600
github.com/18F/federalist,criticality_score:0.556860
github.com/18F/identity-idp,criticality_score:0.646780
github.com/1N3/Sn1per,criticality_score:0.543670
github.com/1Password/1password-teams-open-source,criticality_score:0.461160
github.com/1adrianb/face-alignment,criticality_score:0.477240
github.com/1c7/chinese-independent-developer,criticality_score:0.453290
github.com/1kc/razer-macos,criticality_score:0.446310
github.com/1technophile/OpenMQTTGateway,criticality_score:0.523100
github.com/1up-lab/OneupFlysystemBundle,criticality_score:0.510250
github.com/1up-lab/OneupUploaderBundle,criticality_score:0.511520
github.com/200ok-ch/organice,criticality_score:0.478780
github.com/2020PB/police-brutality,criticality_score:0.451160
github.com/23andMe/Yamale,criticality_score:0.474150
github.com/24pullrequests/24pullrequests,criticality_score:0.494600
github.com/2600hz/kazoo,criticality_score:0.636800
github.com/2dust/v2rayN,criticality_score:0.447250
github.com/2factorauth/twofactorauth,criticality_score:0.630900
github.com/2ndQuadrant/pglogical,criticality_score:0.447230
github.com/2ndQuadrant/repmgr,criticality_score:0.460000
github.com/30-seconds/30-seconds-of-code,criticality_score:0.496620
github.com/33cn/chain33,criticality_score:0.450960
github.com/360Controller/360Controller,criticality_score:0.584690
