repo,metadata
github.com/lvgl/lvgl,criticality_score:0.654790
github.com/seppo0010/stal-rs,num_dependents_deps.dev:0
github.com/typicode/underscore-db,num_dependents_deps.dev:90
github.com/akojo/sysinfo_server,num_dependents_deps.dev:0
github.com/siangyeh8818/gorm.example,num_dependents_deps.dev:0
github.com/john-doherty/express-request-transfer,num_dependents_deps.dev:0
github.com/matthistuff/kepuber,num_dependents_deps.dev:0
github.com/uniibu/koa-log-lite,num_dependents_deps.dev:0
github.com/thencc/chronology-ts,num_dependents_deps.dev:0
github.com/binstar/clyent,
github.com/one-pupil/rqk-ui,num_dependents_deps.dev:0
github.com/nowa-webpack/template-amaze,num_dependents_deps.dev:0
github.com/fand/md2hatena,num_dependents_deps.dev:0
github.com/ipunkt/laravel-analytics,criticality_score:0.439400
github.com/vincent-zurczak/xml-region-analyzer,num_dependents_deps.dev:0
github.com/webjars/angular-dateparser,num_dependents_deps.dev:0
github.com/orlv/tiny-proxy-chain,num_dependents_deps.dev:0
github.com/oanylund/left-expand-pattern-parser,num_dependents_deps.dev:0
github.com/yoursco/yours-nyc-config,num_dependents_deps.dev:2
github.com/galatolofederico/torchreinforce,
github.com/pornel/pngquant,Google
github.com/quarticon/qon-connect,
github.com/marcus13345/RedCloud,num_dependents_deps.dev:0
github.com/timmushen/platform-mx-material-components,num_dependents_deps.dev:0
github.com/MichielvdVelde/signal-fire-relay-redis,num_dependents_deps.dev:0
github.com/richardwillars/thinglator-interface-openzwave,num_dependents_deps.dev:0
github.com/casual-simulation/aux,num_dependents_deps.dev:64
github.com/postcss/postcss-color-rebeccapurple,num_dependents_deps.dev:31392
github.com/CruzNadin/react-native-cn-datepicker,num_dependents_deps.dev:0
github.com/m-adilshaikh/ohlc-resample,num_dependents_deps.dev:0
github.com/Minys233/molnet-python,
github.com/antruongw/react-native-shake-game-cafe,num_dependents_deps.dev:0
github.com/117/passed,num_dependents_deps.dev:0
github.com/oddbird/accoutrement-fonts,num_dependents_deps.dev:0
github.com/substack/healpix,num_dependents_deps.dev:0
github.com/alphauslabs/blueapi,num_dependents_deps.dev:0
github.com/kisbox/browser,num_dependents_deps.dev:0
github.com/abdelmagied94/react-native-audio-recorder,num_dependents_deps.dev:0
github.com/Durisvk/senegraph,num_dependents_deps.dev:0
github.com/i4han/underscore2,num_dependents_deps.dev:0
github.com/chmjs/vue-cli-plugin-nsoft,num_dependents_deps.dev:0
github.com/KhaledMohamedP/translate-json-object,num_dependents_deps.dev:0
github.com/secana/PeNet,criticality_score:0.444520
github.com/zhangchong5566/manba,num_dependents_deps.dev:0
github.com/linzhou-zhong/your_lucky_song,
github.com/lemonxah/d3ne-rs,num_dependents_deps.dev:0
github.com/Naltox/telegram-node-bot,num_dependents_deps.dev:0
github.com/brikcss/stakcss,num_dependents_deps.dev:0
github.com/xunzi/monitoring,num_dependents_deps.dev:0
github.com/mathewv/rust-glossy,num_dependents_deps.dev:0
github.com/AlexForster/sisqo,
github.com/hapinessjs/ng-elements-loader,num_dependents_deps.dev:0
github.com/ZhiCYue/lerna-gp,num_dependents_deps.dev:0
github.com/openutx/popups,
github.com/bconnorwhite/spdx-license,num_dependents_deps.dev:1
github.com/nichoth/ok,num_dependents_deps.dev:0
github.com/serprex/vesema,num_dependents_deps.dev:0
github.com/severin-lemaignan/consoletk,
github.com/vedranvuk/jsonobj,num_dependents_deps.dev:0
github.com/varygoode/web-scraper,num_dependents_deps.dev:0
github.com/daweilv/sequelize-mysql-model,
github.com/K15t/viewport-cli,num_dependents_deps.dev:0
github.com/AndreasGrip/uriQuerySearch,num_dependents_deps.dev:0
github.com/congnghia0609/scv-configuration,num_dependents_deps.dev:0
github.com/hamman/aws-cred,num_dependents_deps.dev:0
github.com/tgulacsi/mantis-save,num_dependents_deps.dev:0
github.com/alfg/overwatch-api,num_dependents_deps.dev:0
github.com/workco/react-native-adbmobile,num_dependents_deps.dev:0
github.com/ismaelpessa/PyMUSE,
github.com/Shmily-HJT/node-create-folder,num_dependents_deps.dev:0
github.com/johannhof/pipeline.rs,num_dependents_deps.dev:17
github.com/hayes/batch-queue,num_dependents_deps.dev:0
github.com/145k0v/fit-classification,
github.com/vanwalj/bs-graphql,num_dependents_deps.dev:0
github.com/xstrixu/gorcon,num_dependents_deps.dev:0
github.com/pintman/midi2mqtt,
github.com/samueleaton/cubbie-micro,num_dependents_deps.dev:0
github.com/mauricelc92/snippetbox,num_dependents_deps.dev:0
github.com/zippochoiloto/grpc-golang,num_dependents_deps.dev:0
github.com/SOVLOOKUP/FastDocx,
github.com/tkuminecz/node-zstandard,num_dependents_deps.dev:0
github.com/TerriaJS/create-docker-context-for-node-component,num_dependents_deps.dev:0
github.com/briankohler/dnsapi,num_dependents_deps.dev:0
github.com/joshlgrossman/seams,num_dependents_deps.dev:0
github.com/ovh-ux/ng-ovh-responsive-page-switcher,num_dependents_deps.dev:0
github.com/localdevices/ODMax,
github.com/radixxko/liqd-body-parser,num_dependents_deps.dev:0
github.com/lburgazzoli/camel-groovy-runner,num_dependents_deps.dev:0
github.com/TvrboPro/React-Native-Notifyer,num_dependents_deps.dev:0
github.com/missinglink/dmon,num_dependents_deps.dev:0
github.com/yanivyakobovich/minikubernetes,num_dependents_deps.dev:0
github.com/bhedge/node-card,num_dependents_deps.dev:0
github.com/opencdk8s/cdk8s-cluster-autoscaler-aws,num_dependents_deps.dev:0
