repo,metadata
github.com/18F/identity-idp,
github.com/1N3/Sn1per,
github.com/24pullrequests/24pullrequests,
github.com/abonas/kubeclient,
github.com/abpframework/abp,
github.com/abseil/abseil-cpp,"project=envoy,dependency=true"
github.com/acassen/keepalived,
github.com/acmesh-official/acme.sh,
github.com/actions/runner,
github.com/activeadmin/activeadmin,
github.com/activemerchant/active_merchant,
github.com/activerecord-hackery/ransack,
github.com/activescaffold/active_scaffold,
github.com/Activiti/Activiti,
github.com/actix/actix,
github.com/actix/actix-extras,
github.com/actix/actix-net,
github.com/actix/actix-web,
github.com/adafruit/Adafruit_CircuitPython_Bundle,
github.com/adempiere/adempiere,
github.com/AdguardTeam/AdguardFilters,
github.com/AElfProject/AElf,
github.com/afex/hystrix-go,
github.com/afragen/github-updater,
github.com/aframevr/aframe,
github.com/agnivade/levenshtein,
github.com/ai/autoprefixer-rails,
github.com/aio-libs/aiohttp,
github.com/airbnb/javascript,
github.com/airbrake/airbrake,
github.com/akaunting/akaunting,
github.com/akeneo/pim-community-dev,
github.com/akka/akka,
github.com/akka/akka-http,
github.com/akkadotnet/akka.net,
github.com/alacritty/alacritty,
github.com/alanmcgovern/monotorrent,
github.com/AlchemyCMS/alchemy_cms,
github.com/alecthomas/template,
github.com/alecthomas/units,
github.com/alexcrichton/cc-rs,
github.com/alexcrichton/curl-rust,
github.com/alexcrichton/proc-macro2,
github.com/alexcrichton/toml-rs,
github.com/alexreisner/geocoder,
github.com/AliasIO/wappalyzer,
github.com/alibaba/dragonwell8,
github.com/alibaba/druid,
github.com/alibaba/fastjson,
github.com/alibaba/hessian2-codec,
github.com/alibaba/nacos,
github.com/allenai/allennlp,
github.com/allinurl/goaccess,
github.com/alphagov/whitehall,
github.com/alpinelinux/aports,
github.com/Amanieu/parking_lot,
github.com/amethyst/amethyst,
github.com/ampache/ampache,
github.com/ampproject/amphtml,
github.com/ampproject/amp-wp,
github.com/anacrolix/torrent,
github.com/andreyvit/diff,
github.com/androidx/androidx,
github.com/angular/clutz,
github.com/angular/material2,
github.com/angularsen/UnitsNet,
github.com/angular/tsickle,
github.com/angular-ui/ui-router,
github.com/ankidroid/Anki-Android,
github.com/ansible/ansible,
github.com/ansible/awx,
github.com/ansible-community/molecule,
github.com/ant-design/ant-design,
github.com/ant-design/ant-design-pro,
github.com/ant-design/pro-components,
github.com/AntennaPod/AntennaPod,
github.com/antlr/antlr4,
github.com/antonbabenko/pre-commit-terraform,
github.com/Anuken/Mindustry,
github.com/aokoli/goutils,
github.com/apache/activemq-artemis,
github.com/apache/airflow,
github.com/apache/ant,
github.com/apache/arrow,
github.com/apache/avro,
github.com/apache/beam,
github.com/apache/calcite,
github.com/apache/carbondata,
github.com/apache/cassandra,
github.com/apache/cloudstack,
github.com/apache/commons-lang,
github.com/apache/cordova-android,
github.com/apache/drill,
github.com/apache/druid,
github.com/apache/dubbo,
github.com/apache/flink,
github.com/apache/geode,
github.com/apache/groovy,
github.com/apache/hadoop,
github.com/apache/hbase,
github.com/apache/hive,
github.com/apache/httpd,
github.com/apache/incubator-echarts,
github.com/apache/incubator-mxnet,
github.com/apache/incubator-nuttx,
github.com/apache/isis,
github.com/apache/jena,
github.com/apache/kafka,
github.com/apache/karaf,
github.com/apache/kylin,
github.com/apache/libcloud,
github.com/apache/maven-surefire,
github.com/apache/mesos,
github.com/apache/netbeans,
github.com/apache/phoenix,
github.com/apache/pulsar,
github.com/apache/shardingsphere,
github.com/apache/skywalking,
github.com/apache/skywalking-data-collect-protocol,"project=envoy,dependency=true"
github.com/apache/spark,
github.com/apache/storm,
github.com/apache/struts,
github.com/apache/thrift,
github.com/apache/tomcat,
github.com/apache/trafficserver,
github.com/apache/tvm,
github.com/apache/zeppelin,
github.com/apache/zookeeper,
github.com/apereo/cas,
github.com/api-platform/core,
github.com/ApolloAuto/apollo,
github.com/apollographql/apollo-client,
github.com/apollographql/apollo-server,
github.com/appium/appium,
github.com/apple/foundationdb,
github.com/apple/swift,
github.com/arangodb/arangodb,
github.com/archivesspace/archivesspace,
github.com/archlinuxarm/PKGBUILDs,
github.com/archlinuxcn/repo,
github.com/ardatan/graphql-tools,
